target,freq,exog,best_p,best_o,best_q,aic
SPY,daily,no_exog,1,1,1,11126.927904781416
SPY,daily,with_exog,1,1,1,11126.927904781416
SPY,weekly,no_exog,1,1,1,3102.5248398351146
SPY,weekly,with_exog,1,1,1,3102.5248398351146
OIL,daily,no_exog,1,1,3,19121.56835323005
OIL,daily,with_exog,1,1,3,19121.56835323005
OIL,weekly,no_exog,1,1,1,4410.886700808644
OIL,weekly,with_exog,1,1,1,4410.886700808644
GOLD,daily,no_exog,1,1,1,12673.12715965466
GOLD,daily,with_exog,1,1,1,12673.12715965466
GOLD,weekly,no_exog,1,1,2,3452.0189381728824
GOLD,weekly,with_exog,1,1,2,3452.0189381728824
